constituency,state,candidate_name,party,previous_vote_share,turnout,swing,margin_previous,incumbency,urban_rural_ratio,literacy_rate,population_density,num_candidates,alliance,winner,election_year
Bhabanipur,West Bengal,Mamata Banerjee,TMC,58.32,62.1,3.2,21.4,1,0.88,85.3,4200,5,TMC-Alliance,1,2026
Bhabanipur,West Bengal,Priyanka Tibrewal,BJP,33.45,62.1,-1.8,0.0,0,0.88,85.3,4200,5,NDA,0,2026
Bhabanipur,West Bengal,Srikumar Mukherjee,CPI(M),5.12,62.1,-2.1,0.0,0,0.88,85.3,4200,5,Left-INC,0,2026
Nandigram,West Bengal,Suvendu Adhikari,BJP,48.26,72.3,2.5,0.4,1,0.35,74.2,980,6,NDA,1,2026
Nandigram,West Bengal,Manna Sahu,TMC,47.85,72.3,1.2,0.0,0,0.35,74.2,980,6,TMC-Alliance,0,2026
Jadavpur,West Bengal,Debasish Kumar,TMC,51.23,65.4,2.1,16.3,1,0.85,86.7,3100,5,TMC-Alliance,1,2026
Jadavpur,West Bengal,Anirban Ganguly,BJP,34.78,65.4,0.8,0.0,0,0.85,86.7,3100,5,NDA,0,2026
Asansol South,West Bengal,Agnimitra Paul,BJP,46.12,60.8,3.5,8.4,1,0.72,74.8,2200,7,NDA,1,2026
Asansol South,West Bengal,Abdul Basit Ichapuria,TMC,37.68,60.8,-2.1,0.0,0,0.72,74.8,2200,7,TMC-Alliance,0,2026
Siliguri,West Bengal,Shankar Ghosh,BJP,44.56,67.2,4.2,5.1,0,0.68,78.3,1800,8,NDA,1,2026
Siliguri,West Bengal,Om Prakash Misra,TMC,39.43,67.2,1.5,0.0,0,0.68,78.3,1800,8,TMC-Alliance,0,2026
Kolkata Port,West Bengal,Firhad Hakim,TMC,62.45,58.9,1.8,30.2,1,0.92,88.2,3800,4,TMC-Alliance,1,2026
Kolkata Port,West Bengal,Rajarshi Bhattacharya,BJP,28.23,58.9,-3.2,0.0,0,0.92,88.2,3800,4,NDA,0,2026
Krishnanagar North,West Bengal,Mahua Moitra,TMC,53.12,66.7,2.8,18.5,1,0.48,72.4,1200,6,TMC-Alliance,1,2026
Krishnanagar North,West Bengal,Koushik Mondal,BJP,34.67,66.7,-1.2,0.0,0,0.48,72.4,1200,6,NDA,0,2026
Chennai Egmore,Tamil Nadu,Anbazhagan S,DMK,54.23,63.2,2.1,22.4,1,0.94,88.7,3900,5,INDIA-TN,1,2026
Chennai Egmore,Tamil Nadu,R Srinivasan,AIADMK,31.45,63.2,-3.8,0.0,0,0.94,88.7,3900,5,AIADMK-NDA,0,2026
Chennai Egmore,Tamil Nadu,J Jayavardhan,BJP,8.12,63.2,2.5,0.0,0,0.94,88.7,3900,5,NDA,0,2026
Coimbatore North,Tamil Nadu,Karunakaran N,DMK,42.34,61.8,1.5,9.2,0,0.86,82.5,2800,7,INDIA-TN,1,2026
Coimbatore North,Tamil Nadu,Vanathi Srinivasan,BJP,38.56,61.8,5.8,0.0,0,0.86,82.5,2800,7,NDA,0,2026
Coimbatore North,Tamil Nadu,Singai G Ramachandran,AIADMK,14.12,61.8,-2.4,0.0,0,0.86,82.5,2800,7,AIADMK-NDA,0,2026
Madurai Central,Tamil Nadu,S Anbalarasu,DMK,55.67,65.4,1.8,24.3,1,0.80,77.8,2200,5,INDIA-TN,1,2026
Madurai Central,Tamil Nadu,R Sridharan,AIADMK,29.34,65.4,-3.1,0.0,0,0.80,77.8,2200,5,AIADMK-NDA,0,2026
Salem West,Tamil Nadu,Kovai Shekar,AIADMK,48.23,62.7,3.2,10.5,1,0.65,72.3,1600,6,AIADMK-NDA,1,2026
Salem West,Tamil Nadu,Tenkasi Mahesh,DMK,37.67,62.7,-1.5,0.0,0,0.65,72.3,1600,6,INDIA-TN,0,2026
Tirunelveli,Tamil Nadu,Rajan A,DMK,52.45,64.3,2.4,18.7,0,0.72,79.4,1900,6,INDIA-TN,1,2026
Tirunelveli,Tamil Nadu,Nainar Nagenthran,AIADMK,33.78,64.3,-1.8,0.0,0,0.72,79.4,1900,6,AIADMK-NDA,0,2026
Thiruvananthapuram,Kerala,Antony Raju,LDF,45.23,71.8,2.1,8.2,1,0.82,96.2,1600,5,LDF,1,2026
Thiruvananthapuram,Kerala,K Muraleedharan,UDF,38.56,71.8,-1.5,0.0,0,0.82,96.2,1600,5,UDF,0,2026
Thiruvananthapuram,Kerala,V Muraleedharan,BJP,14.12,71.8,3.2,0.0,0,0.82,96.2,1600,5,NDA,0,2026
Kozhikode North,Kerala,Ahamed Devarkovil,UDF,49.34,69.2,1.8,12.5,0,0.75,94.8,1400,5,UDF,1,2026
Kozhikode North,Kerala,N Shamsuddeen,LDF,36.78,69.2,-2.4,0.0,0,0.75,94.8,1400,5,LDF,0,2026
Kochi,Kerala,Hibi Eden,UDF,52.12,67.5,2.5,18.3,1,0.95,96.8,3200,4,UDF,1,2026
Kochi,Kerala,V D Satheesan,LDF,33.45,67.5,-1.8,0.0,0,0.95,96.8,3200,4,LDF,0,2026
Thrissur,Kerala,K Radhakrishnan,LDF,48.56,70.3,3.1,12.4,1,0.70,93.7,1300,6,LDF,1,2026
Thrissur,Kerala,Suresh Gopi,BJP,37.23,70.3,6.5,0.0,0,0.70,93.7,1300,6,NDA,0,2026
Thrissur,Kerala,Rahul Mamkoottathil,UDF,12.34,70.3,-3.8,0.0,0,0.70,93.7,1300,6,UDF,0,2026
Kannur,Kerala,P K Jayalakshmi,LDF,56.78,72.1,1.5,25.3,1,0.65,95.4,1200,5,LDF,1,2026
Kannur,Kerala,T V Rajesh,UDF,31.45,72.1,-2.1,0.0,0,0.65,95.4,1200,5,UDF,0,2026
