constituency,state,candidate_name,party,previous_vote_share,turnout,swing,margin_previous,incumbency,urban_rural_ratio,literacy_rate,population_density,num_candidates,alliance,winner
Varanasi,Uttar Pradesh,Narendra Modi,BJP,63.62,55.2,2.1,35.2,1,0.65,75.6,2399,8,NDA,1
Varanasi,Uttar Pradesh,Ajay Rai,INC,22.31,55.2,-1.5,0.0,0,0.65,75.6,2399,8,INDIA,0
Varanasi,Uttar Pradesh,Ather Jamal Lari,BSP,5.12,55.2,-3.2,0.0,0,0.65,75.6,2399,8,Other,0
Amethi,Uttar Pradesh,Smriti Irani,BJP,51.67,58.4,5.3,12.5,1,0.42,68.3,1100,6,NDA,1
Amethi,Uttar Pradesh,Kishori Lal Sharma,INC,43.12,58.4,3.2,0.0,0,0.42,68.3,1100,6,INDIA,0
Rae Bareli,Uttar Pradesh,Rahul Gandhi,INC,52.45,56.1,1.8,15.3,0,0.38,62.4,980,5,INDIA,1
Rae Bareli,Uttar Pradesh,Dinesh Pratap Singh,BJP,38.21,56.1,-2.1,0.0,0,0.38,62.4,980,5,NDA,0
Lucknow,Uttar Pradesh,Rajnath Singh,BJP,58.34,48.9,1.2,25.6,1,0.82,77.5,3200,7,NDA,1
Lucknow,Uttar Pradesh,Ravidas Mehrotra,INC,28.12,48.9,-0.5,0.0,0,0.82,77.5,3200,7,INDIA,0
Gorakhpur,Uttar Pradesh,Ravi Kishan,BJP,55.78,52.3,3.4,18.9,1,0.55,71.2,1800,6,NDA,1
Gorakhpur,Uttar Pradesh,Kajal Nishad,SP,38.45,52.3,2.1,0.0,0,0.55,71.2,1800,6,INDIA,0
Mumbai North,Maharashtra,Piyush Goyal,BJP,54.23,49.8,2.8,22.1,0,0.95,89.7,4200,9,NDA,1
Mumbai North,Maharashtra,Bhushan Patil,INC,32.12,49.8,-1.2,0.0,0,0.95,89.7,4200,9,INDIA,0
Mumbai South,Maharashtra,Arvind Sawant,SHS,48.56,45.2,-1.5,8.3,1,0.98,91.2,4800,8,INDIA,1
Mumbai South,Maharashtra,Yamini Jadhav,SHS-ST,42.34,45.2,3.2,0.0,0,0.98,91.2,4800,8,NDA,0
Pune,Maharashtra,Murlidhar Mohol,BJP,49.67,52.1,4.1,12.4,0,0.88,86.3,3500,7,NDA,1
Pune,Maharashtra,Ravindra Dhangekar,INC,41.23,52.1,2.5,0.0,0,0.88,86.3,3500,7,INDIA,0
Bengaluru South,Karnataka,Tejasvi Surya,BJP,56.12,53.4,1.9,21.5,1,0.92,87.8,3800,8,NDA,1
Bengaluru South,Karnataka,Sowmya Reddy,INC,35.67,53.4,2.3,0.0,0,0.92,87.8,3800,8,INDIA,0
Bengaluru Central,Karnataka,P C Mohan,BJP,48.34,50.2,-0.8,9.8,1,0.95,88.5,4100,7,NDA,1
Bengaluru Central,Karnataka,Mansoor Ali Khan,INC,42.56,50.2,3.1,0.0,0,0.95,88.5,4100,7,INDIA,0
Chennai South,Tamil Nadu,Thamizhachi Thangapandian,DMK,52.34,58.9,2.4,18.7,1,0.91,85.4,3600,6,INDIA,1
Chennai South,Tamil Nadu,J Jayavardhan,BJP,28.45,58.9,-2.8,0.0,0,0.91,85.4,3600,6,NDA,0
Chennai Central,Tamil Nadu,Dayanidhi Maran,DMK,55.67,56.3,1.6,22.3,1,0.93,86.7,3900,5,INDIA,1
Chennai Central,Tamil Nadu,Vinoj P Selvam,BJP,25.34,56.3,-3.5,0.0,0,0.93,86.7,3900,5,NDA,0
New Delhi,Delhi,Bansuri Swaraj,BJP,51.23,55.8,3.2,15.6,0,0.97,86.2,4500,8,NDA,1
New Delhi,Delhi,Somnath Bharti,AAP,38.45,55.8,-2.1,0.0,0,0.97,86.2,4500,8,INDIA,0
Chandni Chowk,Delhi,Praveen Khandelwal,BJP,48.67,52.4,4.5,12.3,0,0.89,82.1,3800,7,NDA,1
Chandni Chowk,Delhi,JP Agarwal,INC,36.78,52.4,-1.8,0.0,0,0.89,82.1,3800,7,INDIA,0
South Delhi,Delhi,Ramvir Singh Bidhuri,BJP,53.45,54.1,2.7,19.8,0,0.91,84.5,4100,9,NDA,1
South Delhi,Delhi,Sahi Ram Pehelwan,INC,33.12,54.1,-3.2,0.0,0,0.91,84.5,4100,9,INDIA,0
Kolkata North,West Bengal,Sudip Bandyopadhyay,TMC,55.23,62.3,1.4,22.5,1,0.88,83.6,3200,6,INDIA,1
Kolkata North,West Bengal,Tapas Roy,BJP,32.45,62.3,-2.6,0.0,0,0.88,83.6,3200,6,NDA,0
Kolkata South,West Bengal,Mala Roy,TMC,52.67,60.1,2.8,18.9,1,0.90,84.8,3400,5,INDIA,1
Kolkata South,West Bengal,Debasree Chaudhuri,BJP,33.78,60.1,-1.5,0.0,0,0.90,84.8,3400,5,NDA,0
Jadavpur,West Bengal,Sayani Ghosh,TMC,48.34,63.5,3.5,12.1,0,0.85,82.3,3000,7,INDIA,1
Jadavpur,West Bengal,Anirban Ganguly,BJP,36.23,63.5,1.2,0.0,0,0.85,82.3,3000,7,NDA,0
Ahmedabad East,Gujarat,Hasmukhbhai Patel,BJP,62.34,55.6,1.8,35.8,1,0.88,85.2,3500,6,NDA,1
Ahmedabad East,Gujarat,Qureshi Mehmood,INC,26.45,55.6,-4.2,0.0,0,0.88,85.2,3500,6,INDIA,0
Gandhinagar,Gujarat,Amit Shah,BJP,64.12,58.2,2.5,38.2,1,0.82,79.8,2800,5,NDA,1
Gandhinagar,Gujarat,Sonal Patel,INC,25.78,58.2,-3.8,0.0,0,0.82,79.8,2800,5,INDIA,0
Surat,Gujarat,Mukesh Dalal,BJP,67.45,42.1,1.1,45.2,0,0.90,87.6,3800,4,NDA,1
Surat,Gujarat,Nilesh Kumbhani,INC,18.23,42.1,-5.1,0.0,0,0.90,87.6,3800,4,INDIA,0
Jaipur,Rajasthan,Manju Sharma,BJP,52.34,56.7,3.4,15.8,0,0.78,76.3,2500,7,NDA,1
Jaipur,Rajasthan,Pratap Singh Khachariyawas,INC,42.12,56.7,1.2,0.0,0,0.78,76.3,2500,7,INDIA,0
Jodhpur,Rajasthan,Gajendra Singh Shekhawat,BJP,56.78,54.3,2.1,22.4,1,0.65,67.1,1800,6,NDA,1
Jodhpur,Rajasthan,Karan Singh Uchiyarda,INC,34.56,54.3,-1.8,0.0,0,0.65,67.1,1800,6,INDIA,0
Patna Sahib,Bihar,Ravi Shankar Prasad,BJP,48.23,51.2,-1.2,8.5,1,0.72,71.4,2200,8,NDA,1
Patna Sahib,Bihar,Anand Mohan,IND,35.67,51.2,2.8,0.0,0,0.72,71.4,2200,8,Other,0
Patna Sahib,Bihar,Shatrughan Prasad,INC,16.12,51.2,-3.5,0.0,0,0.72,71.4,2200,8,INDIA,0
Begusarai,Bihar,Giriraj Singh,BJP,52.45,55.8,1.5,18.2,1,0.45,63.8,1200,7,NDA,1
Begusarai,Bihar,Awadhesh Kumar,CPI(ML),34.23,55.8,3.2,0.0,0,0.45,63.8,1200,7,INDIA,0
Indore,Madhya Pradesh,Lalwani Vedprakash,BJP,65.34,45.6,0.8,42.1,0,0.85,83.1,3100,5,NDA,1
Indore,Madhya Pradesh,Akshay Bam,INC,22.45,45.6,-4.5,0.0,0,0.85,83.1,3100,5,INDIA,0
Bhopal,Madhya Pradesh,Alok Sharma,BJP,58.67,52.3,2.3,28.5,0,0.80,80.2,2800,6,NDA,1
Bhopal,Madhya Pradesh,Arun Srivastava,INC,30.12,52.3,-1.8,0.0,0,0.80,80.2,2800,6,INDIA,0
Hyderabad,Telangana,Asaduddin Owaisi,AIMIM,56.78,45.1,0.5,32.4,1,0.92,83.2,3600,7,Other,1
